Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Genre
667234,The Cat in the Hat Comes Back,Dr. Seuss,"Seuss, Dr.",,394800028,9.78E+12,0,3.84,Begginner Books,Hardcover,63,2000,1958,Kids
233093,The Cat in the Hat,Dr. Seuss,"Seuss, Dr.",,039480001X,9.78E+12,0,4.16,Random House Books for Young Readers,Hardcover,61,1985,1957,Kids
9858081,"The Code of the Woosters (Jeeves, #7)",P.G. Wodehouse,"Wodehouse, P.G.",,393339815,9.78E+12,0,4.36,W. W. Norton  Company,Paperback,272,2011,1938,Comedy
44882,Code,Charles Petzold,"Petzold, Charles",,735611319,9.78E+12,0,4.39,Microsoft Press,Paperback,400,2000,1999,Academic
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,307277674,9.78E+12,0,3.82,Anchor,Paperback,489,2006,2003,Mystery
92057,The Autobiography of Malcolm X,Malcolm X,"X, Malcolm",Alex Haley,,,0,4.31,Ballantine Books,Paperback,466,,1965,Autobiography
1021777,The Autobiography of Malcom X (Bloom's Reviews),Harold Bloom,"Bloom, Harold",,791041115,9.78E+12,0,4.19,Chelsea House Publications,Paperback,,1998,1965,Autobiography
682745,The Basketball Diaries,Jim Carroll,"Carroll, Jim",,,,0,3.98,Penguin Books/Penguin Group (USA) Inc.,Paperback,224,1995,1978,Autobiography
843551,Shrek the Third: The Movie Storybook,Alice Cameron,"Cameron, Alice",Larry Navarro,61228710,9.78E+12,0,3.95,HarperEntertainment,Hardcover,56,2007,2007,Kids
295649,"Bloody Jack (Bloody Jack, #1)",L.A. Meyer,"Meyer, L.A.",,015205085X,9.78E+12,0,4.11,HMH Books for Young Readers,Paperback,304,2010,2002,Fiction
39280444,Speak,Laurie Halse Anderson,"Anderson, Laurie Halse",,374311250,9.78E+12,0,4.01,"Farrar, Straus and Giroux (Byr)",Hardcover,224,2019,1999,Fiction
207682,"When Lightning Strikes (1-800-Where-R-You, #1)",Jenny Carroll,"Carroll, Jenny",Meg Cabot,1416927050,9.78E+12,0,4.04,Simon Pulse,Paperback,266,2007,2001,Fiction
11198312,"The Medusa Plot (39 Clues: Cahills vs. Vespers, #1)",Gordon Korman,"Korman, Gordon",,545324092,9.78E+12,0,4.08,Scholastic Press,Hardcover,222,2011,2011,Fiction
76620,"Watership Down (Watership Down, #1)",Richard  Adams,"Adams, Richard",,038039586X,9.78E+12,0,4.06,Avon Books,Mass Market Paperback,478,1975,1972,Fiction
60400,"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,"Flanagan, John",,142406635,9.78E+12,0,4.22,Puffin Books,Paperback,249,2006,2004,Fiction
266682,"Night of the Living Dummy II (Goosebumps, #31)",R.L. Stine,"Stine, R.L.",,439573742,9.78E+12,0,3.69,Scholastic Inc.,Paperback,144,2004,1995,Horror
295047,Psychology for Dummies,Adam Cash,"Cash, Adam",,764554344,9.78E+12,0,3.69,Hungry Minds,Paperback,384,2002,2002,Academic
149238,Buddhism for Dummies,Jonathan Landaw,"Landaw, Jonathan",Stephan Bodian,764553593,9.78E+12,0,3.92,Wiley Publishing,Paperback,384,2002,2002,Academic
448868,Meditation for Dummies,Stephan Bodian,"Bodian, Stephan",Dean Ornish,764551167,,0,3.74,IDG Books Worldwide,Paperback,384,1999,1999,Academic
171067,Investing For Dummies,Eric Tyson,"Tyson, Eric",,764599127,9.78E+12,0,3.7,Wiley Publishing,Paperback,430,2005,1996,Academic
19622432,A Little Bit of Everything For Dummies,John Wiley & Sons,"Sons, John Wiley &",,,,0,3.25,For Dummies,Kindle Edition,397,2011,2011,Academic
19843,Relationships 101,John C. Maxwell,"Maxwell, John C.",,785263519,9.78E+12,0,4.28,HarperCollins Leadership,Hardcover,112,2004,2003,Self-development
2322209,101 Dalmatians,Justine Korman Fontes,"Fontes, Justine Korman","Bill Langley, Ron Dias",736424202,9.78E+12,0,4.3,Golden Books,Hardcover,24,2007,1985,Kids
18693655,A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,"Oakley, Barbara",,039916524X,9.78E+12,0,4.25,The Penguin Group,Paperback,322,2014,2014,Academic
28186015,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,"O'Neil, Cathy",,553418815,9.78E+12,0,3.87,Crown,Hardcover,259,2016,2016,Academic
25860522,"After Math (Off the Subject, #1)",Denise Grover Swank,"Swank, Denise Grover",,,9.78E+12,0,3.75,DGS,ebook,251,2013,2013,Academic
174329,Math Curse,Jon Scieszka,"Scieszka, Jon",Lane Smith,670861944,9.78E+12,0,4.17,Viking Books for Young Readers,Hardcover,32,1995,1995,Kids
11413,Captivating: Unveiling the Mystery of a Woman's Soul,John Eldredge,"Eldredge, John",Stasi Eldredge,785264698,9.78E+12,0,3.91,Nelson Books,Hardcover,243,2005,2004,Self-development
25376,The Mystery Method: How to Get Beautiful Women Into Bed,Mystery,"Mystery, Mystery",Neil Strauss,312360118,9.78E+12,0,3.71,St. Martin's Press,Hardcover,240,2007,2007,Self-development
13235689,How Music Works,David Byrne,"Byrne, David",,1936365537,9.78E+12,0,3.95,McSweeney's,Hardcover,345,2012,2012,Biography
26854212,The Music Shop,Rachel Joyce,"Joyce, Rachel",,,9.78E+12,0,3.82,,Hardcover,306,2018,2017,Fiction
16729,Beach Music,Pat Conroy,"Conroy, Pat",,553381539,9.78E+12,0,4.15,Dial Press,Paperback,592,2002,1995,Fiction
1297985,Musicophilia: Tales of Music and the Brain,Oliver Sacks,"Sacks, Oliver",,676979785,9.78E+12,0,3.9,Knopf Canada,Hardcover,400,2007,2007,Academic
6022648,"High Line (Love of Sports, #2)",T.A. Chase,"Chase, T.A.",,1605043893,9.78E+12,0,3.82,Samhain Publishing,ebook,232,2009,2009,Sports
23295909,Three and Out (Love and Sports #3),Meghan Quinn,"Quinn, Meghan",,,,0,4.15,,ebook,350,2014,2014,Sports
75641,"Last Shot: A Final Four Mystery (The Sports Beat, #1)",John Feinstein,"Feinstein, John",,553494600,9.78E+12,0,4.04,Yearling,Paperback,272,2006,2005,Sports
9379180,Scorecasting: The Hidden Influences Behind How Sports Are Played and Games Are Won,Tobias J. Moskowitz,"Moskowitz, Tobias J.",L. Jon Wertheim,307591794,9.78E+12,0,3.8,Crown Archetype,Hardcover,255,2011,2011,Sports
5771014,"The Talent Code: Unlocking the Secret of Skill in Sports, Art, Music, Math, and Just About Everything Else",Daniel Coyle,"Coyle, Daniel",John Farrell,1598878735,9.78E+12,0,4.07,HighBridge Company,Audio CD,288,2009,2009,Self-development
4452257,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,"Simmons, Bill",,034551176X,9.78E+12,0,4.17,ESPN,Hardcover,736,2009,2009,Sports
33676,"Saving the World and Other Extreme Sports (Maximum Ride, #3)",James Patterson,"Patterson, James",,316155608,9.78E+12,0,4.15,"Little, Brown and Company",Hardcover,405,2007,2006,Sports
